label,text
ham,Hey, are we still meeting for lunch today?
ham,Don't forget to submit the assignment by tonight.
ham,Your order has been shipped and will arrive tomorrow.
ham,Can you call me when you reach home?
ham,Class is cancelled today due to heavy rain.
spam,Congratulations! You have won a lottery of ₹10,00,000. Claim your prize now!
spam,You have been selected for a free gift voucher. Click here to claim.
spam,Urgent: Your bank KYC is pending. Click the link to update now.
spam,Get an instant loan approved in 5 minutes. No documents required!
spam,Win a brand new smartphone by answering this simple question. Limited offer!
